"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-1X10";"1X10";"JP4";"PIN HEADER";"";
"1";"";"PINHD-1X3";"1X03";"JP5";"PIN HEADER";"";
"1";"";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";
"1";"";"PINHD-1X5";"1X05";"JP2";"PIN HEADER";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";
"1";"0.1uf";"C-US025-024X044";"C025-024X044";"C5";"CAPACITOR, American symbol";"";
"1";"10k";"R-US_0204/7";"0204/7";"R1";"RESISTOR, American symbol";"";
"2";"10uf";"CPOL-USE2,5-6E";"E2,5-6E";"C1, C2";"POLARIZED CAPACITOR, American symbol";"";
"1";"1206L";"1206L";"1206L";"F1";"";"";
"1";"16MHz";"CRYSTAL-16MHZPTH-HC49US";"HC49US";"Y1";"16MHz Crystal";"";
"2";"220E";"R-US_0204/7";"0204/7";"R2, R3";"RESISTOR, American symbol";"";
"2";"22pf";"C-US025-024X044";"C025-024X044";"C3, C4";"CAPACITOR, American symbol";"";
"1";"328P";"ATMEGA328P_PDIP";"DIP28";"U2";"Atmel 328P";"";
"1";"7805";"78XXS";"78XXS";"U3";"VOLTAGE REGULATOR";"";
"1";"GREEN";"LED3MM";"LED3MM";"LED1";"LED";"";
"1";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"J1";"Power Jack Connector";"";
"1";"RED";"LED3MM";"LED_3MM";"LED";"LED (Generic)";"";
"1";"SPST";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"S1";"Momentary Switch (Pushbutton) - SPST";"";
